aacode	hhcompx	hhcomp1	hhtype11	hhtype7	hhtype6	hhsizex	famnumx	loncoupx	nlpar	ncouple	nsing	ndepchil	nxdepch	otherfam	othfamlp	nounits1	cohabhrp	cohabprt	studprt	sft	agehrpx	agehrp2x	agehrp4x	agehrp6x	ager	agepartx	pyngx	pyngbx	agen16	grossa	ageoldx	ageoldbx	olderx	emphrpx	emphrp3x	empprtx	nssech	nssecp	hhempx	empprt3x	nemp	nunemp	ninac	nstud	studhrp	workless	ethhrp8x	ethhrp4x	ethhrp2x	ethprt	ethhrp8n	ethhrp4n	ethhrp2n	ethprtn	sexhrp	sexprt	freeleas	owntype	hatentp	bedstdx	nbedsx	bedrqx	nshare	nkita	totkitsa	nbatha	nliving	nroomsa	nrooms1a	sharer	accomhh	accomhh1	lenres	lenresb	lenown	lenownb	buypresh	ftbuyer	prevten	tenex	tenure1	tenure2	tenure3	tenure4	hhltsick	hpregdis	mortwkx	rentwkx	rentflg	rentexs	rentexsf	hhincx	hhinc5x	hhincflg	amthbenx	housbenx	hhbensx	jointinc	allincx	hyeargrx	hhvulx	equityr	equityr5	bhcinceq	bhcinc_1	bhcinc_2	ahcinceq	ahcinc_1	ahcinc_2
J0742101	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	77	2	4	6	6	0	77	7	0	16	77	6	1	3	3	-9	4.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	1	1	-9	5	3	1	2	2	1	2	2	6	6	2	2	2	39	8	39	8	4	1	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	21422.4	3	2	-9	-9	2	24292	24292	24292	2	350000	5	590.331515499426	4	0	681.934681697613	5	0
J0742102	3	1	3	2	2	4	1	1	0	1	0	1	1	2	1	1	-9	-9	2	1	40	1	2	3	3	42	13	3	1	2	42	3	0	1	1	2	5	9.1	1	1	2	0	1	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	3	3	3	2	2	1	2	2	5	5	2	2	2	12	6	13	6	20	1	9	1	2	2	2	1	2	2	225.692307692308	-9	-9	-9	-9	38134.72	5	0	-9	-9	2	48635.6	48635.6	48635.6	2	50000	2	465.569632981398	3	0	300.388414055081	2	0
J0742103	7	6	10	5	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	82	2	4	6	6	0	82	7	0	15	82	6	1	3	3	-9	4.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	1	-9	1	1	-9	5	3	1	2	2	1	2	2	7	7	2	1	1	12	6	12	6	21	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	15014	2	2	-9	-9	2	16245	16245	16245	2	450000	5	390.183696900115	3	0	450.729442970822	4	0
J0742104	7	6	10	5	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	74	2	4	6	5	0	74	6	0	13	74	5	1	3	3	-9	11.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	1	-9	-9	-9	1	3	1	1	2	2	1	2	2	3	3	2	3	3	20	7	-9	-9	-9	3	9	5	5	4	4	2	2	2	-9	70	0	70	0	7142	1	6	0	2	1	7142	7142	7142	1	-99999999	-9	190.542479908152	1	1	99.4197612732096	1	1
J0742105	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	73	2	4	6	5	69	69	6	0	14	73	5	2	3	3	3	7.1	7.1	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	3	1	2	2	1	2	2	5	5	2	3	3	34	8	34	8	5	1	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	16957.6	2	2	-9	-9	2	17384	17384	17384	2	95000	3	308.915384615385	2	0	308.915384615385	3	0
J0742106	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	-9	-9	2	1	32	1	2	2	2	32	1	1	1	1	32	2	0	1	1	6	2	12.4	1	3	1	0	1	0	2	0	1	1	1	1	1	1	1	1	2	1	-9	-9	-9	4	3	2	2	2	1	2	2	7	7	2	2	2	0	1	-9	-9	-9	3	3	3	11	5	6	3	2	2	-9	196.153846153846	0	196.153846153846	0	13672.36	2	0	0	2	2	16135.6	16135.6	16135.6	2	-99999999	-9	186.528205128205	1	1	23.0666666666667	1	1
J0742201	5	5	8	4	4	5	2	0	1	1	0	2	1	1	3	2	2	-9	-9	0	45	1	3	4	4	0	8	2	2	2	68	5	0	2	1	-9	4.1	0	2	-9	2	0	1	0	2	0	7	4	2	-9	7	4	2	-9	2	-9	1	1	-9	4	4	3	2	2	1	2	2	8	8	2	1	1	1	2	0	1	32	2	7	1	2	2	2	1	1	2	150.923076923077	-9	-9	-9	-9	15155.4	2	0	-9	-9	2	15155.4	15155.4	33155.4	2	102000	3	317.725392886683	2	0	215.708898944193	2	0
J0742202	1	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	2	42	1	2	3	3	48	42	5	0	9	48	3	0	1	1	1	12.6	12.1	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	-9	-9	1	4	2	1	2	2	1	2	2	4	4	2	3	3	2	3	-9	-9	-9	3	6	5	5	4	4	2	1	2	-9	80.7692307692308	0	80.7692307692308	0	24526.32	3	0	0	2	2	29120	29120	29120	2	-99999999	-9	450.621538461538	3	0	369.852307692308	3	0
J0742203	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	-9	-9	2	1	53	1	3	4	4	52	18	4	0	3	53	4	0	1	1	6	2	7.2	1	3	1	0	1	1	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	4	2	2	2	1	2	2	8	8	2	1	1	17	6	17	6	16	2	9	1	2	2	2	1	2	2	177.516975198459	-9	-9	-9	-9	86268.96	5	0	-9	-9	2	142500	142500	142500	2	499000	5	1213.47541931752	5	0	1011.55305105201	5	0
J0742204	1	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	2	51	1	3	4	4	42	42	5	0	10	51	4	0	1	1	1	3.2	6	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	6	1	2	2	1	2	2	9	8	2	2	2	2	3	2	3	31	2	3	1	2	2	2	1	2	2	278.458000311308	-9	-9	-9	-9	48924.72	5	0	-9	-9	2	65000	65000	65000	2	30000	1	901.763846153845	5	0	623.305845842539	5	0
J0742208	4	3	5	3	3	2	1	0	1	0	0	1	0	2	1	1	2	-9	-9	0	21	1	1	1	1	0	3	1	1	1	21	1	0	2	1	-9	13.4	0	2	-9	1	0	0	0	2	0	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	-9	4	3	2	2	2	1	2	2	5	5	2	2	2	3	4	-9	-9	-9	3	9	3	11	5	6	3	2	2	-9	122.241671592307	1	122.241671592307	0	14646.2	2	2	29.9339792846148	1	1	14646.2	16202.7669228	14646.2	1	-99999999	-9	337.986669381078	2	0	220.265039447732	2	0
J0742209	3	1	2	2	2	5	1	1	0	1	0	3	0	2	1	1	-9	-9	2	1	42	1	2	3	3	35	5	2	3	2	42	3	0	1	1	2	9.1	9.1	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	6	3	2	2	1	2	2	11	8	2	1	1	5	5	5	5	28	2	9	1	2	2	2	1	2	2	458.41148301249	-9	-9	-9	-9	20380.36	3	0	-9	-9	2	23509.2	23509.2	23509.2	2	-88888888	-8	216.771153846154	1	1	-69.7360230366525	1	1
J0742211	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	1	1	2	1	41	1	2	3	3	39	3	1	1	1	41	3	0	1	1	4	2	4.2	1	2	1	1	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	4	3	2	2	2	1	2	2	6	6	2	1	1	10	6	12	6	21	1	9	1	2	2	2	1	2	2	214.615384615385	-9	-9	-9	-9	12257.96	2	0	-9	-9	2	14055.6	14055.6	14055.6	2	-88888888	-8	173.89358974359	1	1	-4.95256410256409	1	1
J0742301	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	80	2	4	6	6	79	79	7	0	16	80	6	2	3	3	3	3.1	4.1	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	4	1	2	2	1	2	2	7	7	2	1	1	35	8	35	8	5	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	47238.2	5	0	-9	-9	2	54146.5	54146.5	54146.5	2	258032	5	875.1	5	0	875.1	5	0
J0742304	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	2	41	1	2	3	3	44	12	3	1	2	44	3	0	1	1	1	7.2	7.2	1	1	2	0	0	1	2	0	1	1	1	1	1	1	1	1	1	2	-9	-9	1	3	3	3	2	2	1	2	2	6	6	2	3	3	11	6	-9	-9	-9	3	9	5	5	4	4	2	2	2	-9	87.5	0	87.5	0	26985.92	4	0	0	2	2	31912.4	31912.4	31912.4	2	-99999999	-9	325.438914027149	2	0	253.346628679962	2	0
J0742305	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	1	30	1	2	2	2	25	1	1	2	1	30	2	0	1	1	2	13.4	12.2	1	1	2	0	0	0	2	0	2	2	2	12	2	2	2	12	1	2	1	1	-9	4	3	2	2	2	1	2	2	6	6	2	3	3	2	3	2	3	31	1	5	1	2	2	2	1	2	2	184.615384615385	-9	-9	-9	-9	22181.12	3	0	-9	-9	2	24112.4	24112.4	24112.4	2	-88888888	-8	287.501648351648	2	0	155.633516483517	1	1
J0742306	1	1	4	1	1	3	1	1	0	1	0	0	1	2	1	1	-9	-9	2	1	49	1	3	4	4	46	19	4	0	4	49	3	0	1	1	2	12.3	12.2	1	1	2	0	0	1	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	4	3	2	2	2	1	2	2	5	5	2	2	2	21	7	11	6	22	1	9	1	2	2	2	1	2	2	115.384615384615	-9	-9	-9	-9	16329.56	2	0	-9	-9	2	18460	18460	18460	2	-88888888	-8	218.024291497976	1	1	122.949079089924	1	1
J0742401	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	1	66	2	4	6	5	59	59	5	0	12	66	5	1	3	3	1	12.3	13.4	1	1	1	0	1	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	3	1	2	2	1	2	2	6	6	2	2	2	17	6	15	6	18	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	18732	3	0	-9	-9	2	19500	19500	19500	2	200000	5	340.019230769231	2	0	340.019230769231	3	0
J0742402	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	2	50	1	3	4	4	39	10	2	2	2	50	4	0	1	1	1	3.1	9.1	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	4	3	2	2	2	1	2	2	7	7	2	1	1	7	5	7	5	26	2	9	1	2	2	2	1	2	2	150	-9	-9	-9	-9	49695.21	5	0	-9	-9	2	65618.65	65618.65	65618.65	2	130000	4	663.299587912088	4	0	556.156730769231	4	0
J0742404	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	-9	-9	2	1	39	1	2	3	3	40	7	2	1	2	40	3	0	1	1	6	5	4.1	1	3	1	0	1	0	2	0	1	1	1	1	1	1	1	1	1	2	-9	-9	-9	5	4	2	2	2	1	2	2	9	8	2	1	1	4	4	-9	-9	-9	3	9	3	11	5	6	3	2	2	-9	146.538461538462	0	133.004520138462	3	23879.96	3	0	0	2	2	31085.6	31085.6	31085.6	2	-99999999	-9	365.159615384615	2	0	254.322515269231	2	0
J0742407	3	1	2	2	2	3	1	1	0	1	0	1	0	2	1	1	-9	-9	2	1	43	1	2	3	3	42	12	3	1	2	43	3	0	1	1	6	3.4	9.1	1	3	1	0	1	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	4	2	2	2	1	2	2	8	8	2	1	1	5	5	5	5	28	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	57566.85	5	0	-9	-9	2	71255.6	71255.6	71255.6	2	1000000	5	884.965544871795	5	0	884.965544871795	5	0
J0742408	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	73	2	4	6	5	76	73	6	0	13	76	6	2	3	3	3	7.1	5	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	3	1	2	2	1	2	2	5	5	2	1	1	9	5	9	5	24	2	9	2	1	1	1	1	1	1	0	-9	-9	-9	-9	33506.6	4	0	-9	-9	2	35956	35956	35956	1	280000	5	615.126923076923	4	0	615.126923076923	5	0
J0743104	6	6	10	5	5	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	1	54	1	3	4	4	0	54	5	0	11	54	4	0	1	1	-9	7.2	0	1	-9	1	0	0	0	2	0	2	2	2	-9	2	2	2	-9	1	-9	1	1	-9	3	1	1	2	2	1	2	2	3	3	2	3	3	5	5	6	5	27	1	9	1	2	2	2	1	2	2	133.846153846154	-9	-9	-9	-9	13323.96	2	0	-9	-9	2	16120	16120	16120	2	2000	1	360.669058553387	2	0	185.865716180371	1	1
J0743106	5	4	8	4	4	7	2	1	0	2	0	3	1	1	3	2	-9	-9	2	1	48	1	3	4	4	42	8	2	3	2	74	5	0	1	1	2	2	4.1	1	1	2	0	2	0	2	0	3	3	2	7	3	3	2	7	1	2	1	1	-9	3	4	4	2	2	1	2	2	8	8	2	3	3	26	7	26	7	7	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	56414.56	5	0	-9	-9	2	76809.2	76809.2	87209.2	2	200000	5	501.118437118437	4	0	438.478632478632	4	0
J0743107	2	1	1	1	1	3	2	1	0	1	1	0	1	1	2	2	-9	-9	2	0	72	2	4	6	5	63	63	6	0	12	91	7	2	3	3	3	11.2	13.4	3	3	0	0	3	0	2	-9	4	3	2	8	4	3	2	8	1	2	1	1	-9	4	3	2	2	2	1	2	2	5	5	2	3	3	40	8	40	8	4	1	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	11856	2	0	-9	-9	2	11856	11856	16584	2	120000	3	230.957200694043	1	1	216.319068255688	2	0
J0743108	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	73	2	4	6	5	76	73	6	0	13	76	6	2	3	3	3	9.1	4.1	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	4	1	2	2	1	2	2	7	7	2	1	1	18	6	18	6	15	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	10904	1	6	-9	-9	1	10904	10904	10904	1	250000	5	177.884615384615	1	1	177.884615384615	1	1
J0743201	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	84	2	4	6	6	0	84	7	0	16	84	6	1	3	3	-9	11.2	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	1	1	-9	5	3	1	2	2	1	2	2	5	5	2	1	1	45	8	45	8	4	2	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	7142	1	6	-9	-9	1	7142	7142	7142	1	150000	4	180.948622273249	1	1	209.026856763926	2	1
J0743203	7	6	10	5	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	90	2	4	6	6	0	90	8	0	15	90	7	1	3	3	-9	8.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	1	-9	1	1	-9	4	2	1	2	2	1	2	2	5	5	2	2	2	31	8	31	8	6	2	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	11870	2	0	-9	-9	2	12432.5	12432.5	12432.5	1	150000	4	323.909299655568	2	0	374.171087533157	3	0
J0743205	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	0	68	2	4	6	5	65	65	6	0	14	68	5	2	3	3	3	7.2	13.4	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	-9	-9	-9	3	1	1	2	2	1	2	2	3	3	2	4	4	1	2	-9	-9	-9	3	5	4	4	3	3	2	1	1	-9	78	0	78	0	20568.64	3	0	0	2	2	22360	22360	22360	2	-99999999	-9	379.954615384615	3	0	301.954615384615	3	0
J0743207	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	2	42	1	2	3	3	43	12	3	2	2	43	3	0	1	1	1	4.1	12.1	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	1	2	1	1	-9	3	3	3	2	2	1	2	2	6	6	2	2	2	20	7	20	7	13	1	9	1	2	2	2	1	2	2	76.1538461538462	-9	-9	-9	-9	20796.36	3	0	-9	-9	2	23592.4	23592.4	23592.4	2	-88888888	-8	246.560583207642	1	1	185.854226020893	1	1
J0743208	3	1	2	2	2	7	4	1	0	1	3	5	0	1	2	2	-9	-9	2	2	36	1	2	3	3	43	2	1	5	1	43	3	0	1	1	1	9.1	6	1	1	2	0	0	0	2	0	1	1	1	1	1	1	1	1	2	1	1	1	-9	5	6	4	2	2	1	2	2	9	8	2	2	2	7	5	7	5	26	2	9	1	2	2	2	1	1	2	115.384615384615	-9	-9	-9	-9	58317.41	5	0	-9	-9	2	75617.8	75617.8	75617.8	2	90000	3	547.782788461539	4	0	490.090480769231	4	0
J0743209	3	1	2	2	2	4	1	1	0	1	0	2	0	2	1	1	-9	-9	2	2	31	1	2	2	2	32	3	1	2	1	32	2	0	1	1	1	12.6	12.2	1	1	2	0	0	0	2	0	1	1	1	2	1	1	1	2	2	1	-9	-9	-9	3	3	3	2	2	1	2	2	6	6	2	2	2	3	4	-9	-9	-9	3	9	4	4	3	3	2	2	2	-9	98.3076923076923	0	98.3076923076923	0	22742.72	3	0	0	2	2	25672.4	25672.4	25672.4	2	-99999999	-9	293.883516483517	2	0	223.663736263736	2	0
J0743210	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	67	2	4	6	5	0	67	6	0	14	67	5	1	3	3	-9	7.2	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	1	3	1	1	2	2	1	2	2	3	3	2	4	4	4	4	-9	-9	-9	3	9	5	5	4	4	2	2	2	-9	91	0	91	0	7292.48	1	0	91	1	1	7292.48	12024.48	7292.48	1	-99999999	-9	350.874856486797	2	0	248.424403183024	2	0
J0743301	7	7	11	6	6	1	1	0	0	0	1	0	0	2	1	1	-9	-9	-9	0	86	2	4	6	6	0	86	8	0	16	86	7	1	3	3	-9	7.1	0	3	-9	0	0	1	0	2	-9	1	1	1	-9	1	1	1	-9	2	-9	-9	-9	-9	4	2	1	2	2	1	2	2	5	5	2	4	4	5	5	-9	-9	-9	3	9	3	11	5	6	3	2	2	-9	115.384615384615	0	115.384615384615	0	10018	1	7	0	2	1	10018	10018	10018	1	-99999999	-9	274.390068886338	1	0	118.028846153846	1	1
J0743304	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	1	1	2	0	69	2	4	6	5	64	64	6	0	12	69	5	2	3	3	3	3.1	12.6	3	3	0	0	2	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	4	1	2	2	1	2	2	7	7	2	1	1	35	8	35	8	5	1	9	2	1	1	1	1	1	2	0	-9	-9	-9	-9	22578	3	0	-9	-9	2	24502.5	24502.5	24502.5	2	275000	5	402.384615384615	3	0	402.384615384615	3	0
J0743306	2	1	1	1	1	2	1	1	0	1	0	0	0	2	1	1	-9	-9	2	1	69	2	4	6	5	62	62	6	0	12	69	5	2	2	1	1	13.3	4.1	1	1	2	0	0	0	2	-9	1	1	1	1	1	1	1	1	1	2	1	1	-9	5	3	1	2	2	1	2	2	6	6	2	2	2	42	8	43	8	4	1	9	2	1	1	1	1	2	2	0	-9	-9	-9	-9	20215	3	0	-9	-9	2	22360	22360	22360	2	130000	4	369.903846153846	2	0	369.903846153846	3	0
