2010,13.68
2011,14.14
2012,14.92
2013,15.50
2014,16.40
2015,16.20
2016,16.46
2017,16.14
2018,17.15
2019,18.41
2020,18.31
2021,18.16
2022,28.30
2023,27.68
2024,24.09
