"region","hhinc5x","Detached","Semi","Terraced","Flat"
"East","Q1",0.299600218258533,0.336507237102644,0.265508833248078,0.0983837113907449
"East","Q2",0.274907479959694,0.373386728153186,0.262885763420688,0.0888200284664321
"East","Q3",0.333311849736445,0.362287710318083,0.223878584202113,0.0805218557433594
"East","Q4",0.396007760308134,0.349944632220523,0.209263388050548,0.044784219420795
"East","Q5",0.524655343035614,0.249035584322784,0.161329195529171,0.0649798771124311
"East Midlands","Q1",0.343259064016316,0.387503341308758,0.226722490429571,0.0425151042453545
"East Midlands","Q2",0.312528827969809,0.426641952243791,0.222744164300717,0.0380850554856839
"East Midlands","Q3",0.372553030655085,0.40699783885286,0.186502921531817,0.0339462089602371
"East Midlands","Q4",0.43016848109526,0.382063350549511,0.169419689893917,0.0183484784613128
"East Midlands","Q5",0.570460535327478,0.272153589437415,0.130737511422495,0.0266483638126123
"London","Q1",0.0594505183051622,0.248424200381398,0.343661213567899,0.348464067745541
"London","Q2",0.0553781551365904,0.279831613044725,0.345427587671975,0.31936264414671
"London","Q3",0.0727954874123724,0.294369817347471,0.318936542284002,0.313898152956155
"London","Q4",0.102531759823351,0.33708546254362,0.353415825407939,0.20696695222509
"London","Q5",0.143218041511546,0.252912916432018,0.287259647984247,0.316609394072189
"North East","Q1",0.159366058010231,0.430144660218537,0.33865464478963,0.0718346369816016
"North East","Q2",0.142848857144845,0.466246422836788,0.327553042935008,0.0633516770833592
"North East","Q3",0.180044740546763,0.470272636872979,0.289979031285028,0.0597035912952301
"North East","Q4",0.219979038945827,0.467136026516678,0.278737379985459,0.0341475545520363
"North East","Q5",0.328084984587278,0.374231279094785,0.241907637482276,0.0557760988356602
"North West","Q1",0.182494861716672,0.421144969991218,0.333282993590212,0.0630771747018984
"North West","Q2",0.163898846305223,0.4573797264843,0.322984789946968,0.0557366372635089
"North West","Q3",0.205268890505539,0.458410626608813,0.284125750927107,0.0521947319585412
"North West","Q4",0.248532593946982,0.451240098959978,0.270644105013007,0.0295832020800334
"North West","Q5",0.365059111903004,0.356023933080912,0.231327745192306,0.0475892098237775
"Scotland","Q1",0.225359358676743,0.256029573247306,0.226911424019341,0.29169964405661
"Scotland","Q2",0.211245204192268,0.290216051689189,0.229515110511232,0.269023633607312
"Scotland","Q3",0.262137133772226,0.288199780395199,0.200048020769578,0.249615065062997
"Scotland","Q4",0.340137725621835,0.304027377911958,0.204215298547838,0.151619597918369
"Scotland","Q5",0.43146744024211,0.207156033217283,0.150740798245322,0.210635728295285
"South East","Q1",0.282808585155035,0.309061525307444,0.268223733422237,0.139906156115284
"South East","Q2",0.260984037398752,0.344894554055492,0.267092824871108,0.127028583674649
"South East","Q3",0.318438130191875,0.336765802997865,0.228904657035148,0.115891409775112
"South East","Q4",0.385253221773886,0.331239400614099,0.217873093765562,0.0656342838464531
"South East","Q5",0.505688823527229,0.233545085851014,0.166414049419738,0.0943520412020197
"South West","Q1",0.302030337524877,0.30141390460928,0.280681060971418,0.115874696894425
"South West","Q2",0.278781143165586,0.336431108549574,0.279556502274189,0.105231246010651
"South West","Q3",0.338714827411615,0.327112762205014,0.238573223832538,0.0955991865508328
"South West","Q4",0.404626705285847,0.317695171341283,0.224217647292546,0.0534604760803235
"South West","Q5",0.529410831156489,0.223275238027521,0.170709379225306,0.0766045515906844
"Wales","Q1",0.276785291975079,0.33836794347803,0.333431274568607,0.0514154899782845
"Wales","Q2",0.252463467320161,0.373219891919327,0.328175026110556,0.0461416146499559
"Wales","Q3",0.309336372629738,0.365955060168969,0.282435485970144,0.0422730812311499
"Wales","Q4",0.36441825929261,0.350501345032941,0.261767762196315,0.0233126334781333
"Wales","Q5",0.498832204973115,0.257712634840365,0.208506610021995,0.0349485501645247
"West Midlands","Q1",0.246403110079841,0.416811732290676,0.266120900152296,0.0706642574771875
"West Midlands","Q2",0.222561891902813,0.455265343108161,0.259374492906454,0.0627982720825714
"West Midlands","Q3",0.272737111801785,0.446466164734336,0.223255406552349,0.0575413169115299
"West Midlands","Q4",0.325347476323101,0.432996661924754,0.209523600222791,0.0321322615293549
"West Midlands","Q5",0.45500468581019,0.325270474088436,0.170510326947362,0.0492145131540118
"Yorkshire and The Humber","Q1",0.214291596453459,0.416470312318139,0.316203474496782,0.0530346167316204
"Yorkshire and The Humber","Q2",0.192830743554263,0.453184681149634,0.307030440191181,0.0469541351049216
"Yorkshire and The Humber","Q3",0.239166670903462,0.449811061793134,0.267477407367146,0.0435448599362582
"Yorkshire and The Humber","Q4",0.286193151433988,0.437604220051959,0.251810271528928,0.024392356985125
"Yorkshire and The Humber","Q5",0.412089469290449,0.338458518068514,0.210986677542253,0.0384653350987841
